	0	1	2
0	LT0014_12	00159_01.ch5	(94, 1024, 1344)
1	LT0105_04	00144_01.ch5	(93, 1024, 1344)
2	LT0094_44	00319_01.ch5	(93, 1024, 1344)
3	LT0017_19	00365_01.ch5	(94, 1024, 1344)
4	LT0157_04	00005_01.ch5	(93, 1024, 1344)
5	LT0100_03	00093_01.ch5	(93, 1024, 1344)
6	LT0094_04	00319_01.ch5	(93, 1024, 1344)
7	LT0144_01	00166_01.ch5	(93, 1024, 1344)
8	LT0093_13	00147_01.ch5	(93, 1024, 1344)
9	LT0098_13	00021_01.ch5	(93, 1024, 1344)
10	LT0067_02	00099_01.ch5	(93, 1024, 1344)
11	LT0109_38	00349_01.ch5	(93, 1024, 1344)
12	LT0026_22	00258_01.ch5	(94, 1024, 1344)
13	LT0066_19	00287_01.ch5	(93, 1024, 1344)
14	LT0065_04	00020_01.ch5	(93, 1024, 1344)
15	LT0047_27	00140_01.ch5	(94, 1024, 1344)
16	LT0039_45	00136_01.ch5	(94, 1024, 1344)
17	LT0106_02	00287_01.ch5	(93, 1024, 1344)
18	LT0013_42	00107_01.ch5	(94, 1024, 1344)
19	LT0038_01	00245_01.ch5	(93, 1024, 1344)
20	LT0038_08	00250_01.ch5	(94, 1024, 1344)
21	LT0093_17	00114_01.ch5	(93, 1024, 1344)
22	LT0035_06	00274_01.ch5	(94, 1024, 1344)
23	LT0065_06	00054_01.ch5	(93, 1024, 1344)
24	LT0094_01	00319_01.ch5	(93, 1024, 1344)
25	LT0043_48	00166_01.ch5	(94, 1024, 1344)
26	LT0027_44	00292_01.ch5	(94, 1024, 1344)
27	LT0028_14	00129_01.ch5	(94, 1024, 1344)
28	LT0064_14	00003_01.ch5	(93, 1024, 1344)
29	LT0046_19	00356_01.ch5	(94, 1024, 1344)
30	LT0101_01	00277_01.ch5	(93, 1024, 1344)
31	LT0041_32	00132_01.ch5	(94, 1024, 1344)
32	LT0048_14	00335_01.ch5	(94, 1024, 1344)
33	LT0096_33	00255_01.ch5	(93, 1024, 1344)
34	LT0030_17	00184_01.ch5	(94, 1024, 1344)
35	LT0090_33	00383_01.ch5	(93, 1024, 1344)
36	LT0038_27	00250_01.ch5	(94, 1024, 1344)
37	LT0044_36	00249_01.ch5	(94, 1024, 1344)
38	LT0132_31	00053_01.ch5	(93, 1024, 1344)
39	LT0013_38	00042_01.ch5	(94, 1024, 1344)
40	LT0023_04	00005_01.ch5	(93, 1024, 1344)
41	LT0042_10	00044_01.ch5	(94, 1024, 1344)
42	LT0084_46	00003_01.ch5	(92, 1024, 1344)
43	LT0089_01	00175_01.ch5	(93, 1024, 1344)
44	LT0066_23	00163_01.ch5	(94, 1024, 1344)
45	LT0138_03	00127_01.ch5	(93, 1024, 1344)
